epoch,train_loss,train_err,test_err
0,1.4826246500015259,0.5575,0.5552
1,1.2152016162872314,0.43944,0.4462
2,0.9696633219718933,0.39516,0.4124
3,0.7811182737350464,0.30738,0.3309
4,0.5967152714729309,0.2513,0.2822
5,0.5942206382751465,0.26706,0.3038
6,0.464334100484848,0.24262,0.2884
7,0.4539663791656494,0.25674,0.2995
8,0.37177005410194397,0.21076,0.2652
9,0.2375233918428421,0.16644,0.2406
10,0.24644000828266144,0.18268,0.2606
11,0.3059200048446655,0.17454,0.2491
12,0.23391158878803253,0.15112,0.243
13,0.1683453917503357,0.13956,0.2383
14,0.20931491255760193,0.13018,0.2327
15,0.16697706282138824,0.1291,0.2413
16,0.16120581328868866,0.14212,0.2564
17,0.16238240897655487,0.15248,0.2653
18,0.07399018108844757,0.09816,0.2252
19,0.10381302982568741,0.12936,0.2538
20,0.15183404088020325,0.10794,0.2409
21,0.10960104316473007,0.11032,0.2421
22,0.08291439712047577,0.098,0.234
23,0.0471617691218853,0.11652,0.2504
24,0.056398339569568634,0.07526,0.2256
25,0.0455591157078743,0.09714,0.2433
26,0.0748959481716156,0.06976,0.2237
27,0.07997670024633408,0.06422,0.225
28,0.022697750478982925,0.05856,0.2264
29,0.08351649343967438,0.05922,0.2234
30,0.04918377101421356,0.06368,0.2261
31,0.05039028450846672,0.0573,0.2254
32,0.040599118918180466,0.06478,0.2321
33,0.04716380685567856,0.05452,0.2305
34,0.0084144975990057,0.05032,0.2225
35,0.010142551735043526,0.03978,0.2252
36,0.01576840877532959,0.05056,0.2279
37,0.007866471074521542,0.02822,0.2088
38,0.03238945081830025,0.02658,0.2074
39,0.009773480705916882,0.02338,0.2104
40,0.012662279419600964,0.03494,0.2157
41,0.05294940993189812,0.0311,0.214
42,0.010698892176151276,0.02948,0.2121
43,0.014195635914802551,0.02426,0.2111
44,0.01073491107672453,0.01998,0.2084
45,0.010294908657670021,0.04108,0.2253
46,0.017382295802235603,0.0277,0.2159
47,0.03080814518034458,0.01658,0.2105
48,0.0006739545497111976,0.02016,0.21
49,0.0077115981839597225,0.01882,0.2063
50,0.0011509794276207685,0.02374,0.2075
51,0.05218176916241646,0.02314,0.2158
52,0.02106020227074623,0.03544,0.2212
53,0.0027787573635578156,0.01514,0.2056
54,0.0016424034256488085,0.01418,0.2009
55,0.005309642758220434,0.01356,0.2063
56,0.005040024872869253,0.01498,0.2091
57,0.0003906712809111923,0.01058,0.2041
58,0.052032340317964554,0.01386,0.2088
59,0.003155150916427374,0.01156,0.202
60,0.0003965986834373325,0.01044,0.2042
61,0.0034914917778223753,0.00572,0.1955
62,0.0009708903962746263,0.004,0.1954
63,0.001117065199650824,0.00462,0.1941
64,0.0007791061652824283,0.00192,0.1947
65,4.4548040023073554e-05,0.00056,0.1897
66,3.505385757307522e-05,0.00024,0.1874
67,2.798112473101355e-05,0.00016,0.1883
68,2.3762109776725993e-05,0.00014,0.1881
69,2.1357433070079423e-05,8e-05,0.1879
70,1.9552640878828242e-05,8e-05,0.188
71,1.8069385987473652e-05,6e-05,0.1882
72,1.6910697013372555e-05,4e-05,0.1881
73,1.6023011994548142e-05,4e-05,0.1881
74,1.5254457139235456e-05,2e-05,0.1876
75,1.4603559975512326e-05,2e-05,0.1877
76,1.3909458175476175e-05,2e-05,0.1874
77,1.3376205970416777e-05,2e-05,0.1875
78,1.2889102436020039e-05,2e-05,0.1875
79,1.2537539078039117e-05,2e-05,0.1876
80,1.2188967957627028e-05,2e-05,0.1877
81,1.1856775927299168e-05,2e-05,0.1877
82,1.1537981663423125e-05,2e-05,0.1879
83,1.122662979469169e-05,2e-05,0.188
84,1.0979345461237244e-05,2e-05,0.1879
85,1.0720126738306135e-05,2e-05,0.1878
86,1.0513052984606475e-05,2e-05,0.1879
87,1.0241917152598035e-05,2e-05,0.1877
88,1.0031860256276559e-05,2e-05,0.1877
89,9.806896741793025e-06,2e-05,0.1876
90,9.622172910894733e-06,2e-05,0.1879
91,9.389764272782486e-06,2e-05,0.1879
92,9.212482837028801e-06,2e-05,0.1879
93,9.060522643267177e-06,2e-05,0.188
94,8.845987395034172e-06,2e-05,0.1879
95,8.734251423447859e-06,2e-05,0.188
96,8.582288501202129e-06,2e-05,0.1878
97,8.512266504112631e-06,2e-05,0.188
98,8.308163160108961e-06,2e-05,0.1879
99,8.211323802242987e-06,2e-05,0.1883
100,8.063831046456471e-06,2e-05,0.1882
101,7.946131518110633e-06,2e-05,0.1879
102,7.86120472184848e-06,2e-05,0.1879
103,7.697318324062508e-06,2e-05,0.188
104,7.619850748596946e-06,2e-05,0.188
105,7.53194672142854e-06,2e-05,0.1881
106,7.415737400151556e-06,2e-05,0.188
107,7.299528988369275e-06,2e-05,0.188
108,7.180339707701933e-06,2e-05,0.1879
109,7.108826139301527e-06,2e-05,0.1879
110,7.049228770483751e-06,2e-05,0.1878
111,6.979204044910148e-06,2e-05,0.1878
112,6.87938245391706e-06,2e-05,0.1878
113,6.7691303229366895e-06,2e-05,0.1877
114,6.697616299788933e-06,2e-05,0.1879
115,6.643979759246577e-06,2e-05,0.1875
116,6.5545855250093155e-06,2e-05,0.1876
117,6.487542123068124e-06,2e-05,0.1876
118,6.429436325561255e-06,2e-05,0.1877
119,6.350471267069224e-06,2e-05,0.1876
120,6.252137154660886e-06,2e-05,0.1875
121,6.183597633935278e-06,2e-05,0.1876
122,6.09867311140988e-06,2e-05,0.1876
123,6.039077561581507e-06,2e-05,0.1872
124,5.991399120830465e-06,2e-05,0.1871
125,5.940741175436415e-06,2e-05,0.1873
126,5.897531991649885e-06,2e-05,0.1873
127,5.797707672172692e-06,2e-05,0.1871
128,5.7828083299682476e-06,2e-05,0.1872
129,5.711292942578439e-06,2e-05,0.1872
130,5.63977755518863e-06,2e-05,0.187
131,5.572728241531877e-06,2e-05,0.187
132,5.507170953933382e-06,2e-05,0.1871
133,5.481841526489006e-06,2e-05,0.1872
134,5.426713869383093e-06,2e-05,0.1872
135,5.396914730226854e-06,2e-05,0.1873
136,5.335824880603468e-06,2e-05,0.1874
137,5.3075173127581365e-06,2e-05,0.1874
138,5.2508985390886664e-06,2e-05,0.1874
139,5.2061991482332814e-06,2e-05,0.1874
140,5.154051905265078e-06,2e-05,0.1875
141,5.097431767353555e-06,2e-05,0.1875
142,5.0631651902222075e-06,2e-05,0.1875
143,5.019955096940976e-06,2e-05,0.1874
144,4.990156412532087e-06,2e-05,0.1875
145,4.94098776471219e-06,2e-05,0.1873
146,4.9096975089923944e-06,2e-05,0.1876
147,4.87542729388224e-06,2e-05,0.1875
148,4.854567123402376e-06,2e-05,0.1875
149,4.7815592552069575e-06,2e-05,0.1875
150,4.73835143566248e-06,2e-05,0.1874
151,4.707061634690035e-06,2e-05,0.1874
152,4.696631549450103e-06,2e-05,0.1875
153,4.666832865041215e-06,2e-05,0.1873
154,4.632563104678411e-06,2e-05,0.1873
155,4.598293344315607e-06,2e-05,0.1873
156,4.546144282358e-06,2e-05,0.1873
157,4.501444891502615e-06,2e-05,0.1872
158,4.489525053941179e-06,2e-05,0.1871
159,4.45376508650952e-06,2e-05,0.1871
160,4.426946361490991e-06,2e-05,0.187
161,4.380756763566751e-06,2e-05,0.187
162,4.374795935291331e-06,2e-05,0.1871
163,4.318177616369212e-06,2e-05,0.1869
